no,category,addr1,addr2,addr3,name,menu,x_code,y_code,food_category1,food_category2,
585,맛녀석,서울,강동구,서울 강동구 올림픽로 759,개수리막국수 ,막국수,127.1267886,37.54904446, 한식 , 국수,
586,맛녀석,서울,마포구,서울 마포구 신촌로20길 6,죠티레스토랑,인도커리,126.9379543,37.55495091, 아시아음식 , 인도음식,
587,맛녀석,서울,강남구,서울 강남구 언주로 652,단스시,회전초밥,127.0357661,37.51510152, 일식 ," 초밥,롤",
588,맛녀석,서울,강남구,서울 강남구 도산대로 511,더청담한우,육회,127.0491797,37.52475455, 한식 ," 육류,고기",
589,맛녀석,인천,중구,인천 중구 선녀바위로55번길 39,을항,물회,126.3781896,37.44357006, 한식 ," 해물,생선 ",
590,맛녀석,서울,마포구,서울 송파구 백제고분로45길 7,단디,대창덮밥,127.1103438,37.50923131, 퓨전요리 , 퓨전일식,
591,맛녀석,서울,마포구,서울 성북구 동소문로 125,포썸,갈비쌀국수,127.0182213,37.59415187, 아시아음식 , 동남아음식 ,
592,맛녀석,충남,보령시,충남 보령시 오천면 오천해안로 782-9,오천항수산물판매센터 2호점,키조개 요리,126.5209654,36.43940651, 한식 ," 해물,생선 ",
593,맛녀석,서울,강동구,서울 강동구 천호대로 1158,인정원월남쌈,월남쌈,127.1401893,37.53327444, 아시아음식 , 동남아음식,
594,맛녀석,서울,광진구,서울 광진구 동일로18길 22,봉자마라탕,경장육사,127.0640969,37.53967248, 중식,-,
595,맛녀석,경기,이천시,경기 이천시 신둔면 경충대로 3134,임금님쌀밥집,이천쌀밥정식,127.4034582,37.30630528, 한식,-,
596,맛녀석,서울,종로구,서울 종로구 삼일대로 428,일미식당,가정식 백반,126.9878016,37.57257566, 한식,-,
597,맛녀석,전남,영광군,서울 종로구 종로16길 32-4,갯마을횟집,백합요리,126.9885901,37.56872939, 한식 ," 해물,생선 ",
598,맛녀석,전남,영광군,전남 영광군 영광읍 신남로1길 54-22,민속촌 영광점,청보리 한우,126.4961355,35.27295989, 한식 ," 육류,고기",
599,맛녀석,서울,중구,서울 중구 덕수궁길 5,메이드인시카고피자,시카고피자&오븐스파게티,126.9764525,37.56478934, 양식 , 피자,
600,맛녀석,서울,강남구,부산 부산진구 동천로108번길 11,버거샵,햄버거&감자튀김,129.063055,35.15855645, 양식 , 햄버거,
601,맛녀석,경기,파주시,경남 창원시 진해구 충장로575번길 8,정미식당,부대찌개,128.7024585,35.13753289, 한식 ," 해물,생선 ",
